Unnamed: 0,OBJECTID,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstPKW,IstKrad,IstGkfz,IstFuss,IstSonstige,lat,lon,alone,not_alone,UTYP2,weekend
772,197543,1,7,4,3,1,5,1,1,1,0,0,0,0,52.47664741006357,13.433303815796654,0,1,5,0
773,197547,1,17,2,3,5,2,2,1,0,0,0,0,1,52.53982346211213,13.183203845495465,0,1,2,0
774,197551,1,16,2,3,0,1,2,1,0,0,0,0,0,52.53744292586213,13.290942047843947,1,0,1,0
775,197552,1,15,2,3,5,3,0,0,1,0,0,0,0,52.54509676661623,13.549446729834314,0,1,2,0
776,197553,1,13,4,3,5,3,0,1,1,0,0,0,0,52.504221028892744,13.359584046822338,0,1,2,0
777,197557,1,14,2,3,5,2,0,0,0,0,0,0,1,52.52942777544461,13.379408910430527,0,1,2,0
778,197558,1,23,3,3,5,2,2,1,1,0,0,0,0,52.490615129735744,13.342013124266824,0,1,2,0
779,197563,1,12,3,3,5,2,0,0,1,0,0,0,0,52.518789238585555,13.306409675673285,0,1,2,0
780,197569,1,7,3,3,1,5,0,1,0,0,1,0,0,52.49760076080312,13.431392625510965,0,1,5,0
781,197575,1,8,2,3,5,3,0,1,1,0,0,0,0,52.49814462183055,13.318860403026461,0,1,2,0
782,197579,1,17,3,3,5,2,2,1,1,0,0,0,0,52.56424318724508,13.507492491425195,0,1,2,0
783,197581,1,7,2,3,5,3,1,1,1,0,0,0,0,52.52793349386732,13.36407342535851,0,1,2,0
784,197582,1,18,3,3,1,5,2,1,0,0,0,0,1,52.514983312457545,13.443583531818652,0,1,5,0
785,197585,1,7,2,3,5,2,1,1,1,0,0,0,0,52.46044846236726,13.274814285590153,0,1,2,0
786,197587,1,7,2,3,5,2,2,0,1,0,0,0,0,52.440552227512796,13.381451592438975,0,1,2,0
787,197588,1,16,3,3,5,3,1,1,1,0,0,0,0,52.53123070582668,13.456981546669445,0,1,2,0
788,197596,1,15,3,2,5,3,0,1,1,0,0,0,0,52.50206970841585,13.48675705388562,0,1,2,0
789,197597,1,17,1,3,2,7,2,0,1,0,0,0,0,52.5149699804901,13.478171428876236,0,1,7,1
790,197598,1,15,3,3,1,5,0,1,1,0,0,0,0,52.483959236272156,13.372799509833545,0,1,5,0
791,197601,1,14,1,3,5,2,0,1,1,0,0,0,0,52.53128222926976,13.411939102235436,0,1,2,1
792,197602,1,8,3,3,5,2,0,0,1,0,0,0,0,52.50605477532211,13.42600828190806,0,1,2,0
793,197604,1,12,3,3,0,2,0,0,0,0,0,0,1,52.50983979905825,13.421207213332453,0,1,2,0
794,197608,1,9,3,1,1,5,0,1,0,0,1,0,0,52.48698589566847,13.275546611729894,0,1,5,0
795,197612,1,18,1,3,6,4,2,1,0,0,0,1,0,52.49443343291266,13.325952615329113,0,1,4,1
796,197614,1,18,1,3,3,6,2,0,1,0,0,0,0,52.50715820008856,13.333771247219426,0,1,6,1
797,197617,1,18,2,2,2,2,2,1,1,0,0,0,0,52.55402311250604,13.408710619815626,0,1,2,0
798,197620,1,13,2,3,1,5,0,0,1,0,0,0,0,52.42497502033782,13.377651524130695,0,1,5,0
799,197622,1,13,7,3,5,2,0,0,1,0,0,0,0,52.512598938010036,13.276658580265169,0,1,2,1
800,197627,1,7,7,3,5,2,2,1,1,0,0,0,0,52.525664725042546,13.540128109616447,0,1,2,1
801,197631,2,6,6,3,0,1,1,2,0,0,0,0,0,52.51398744506093,13.623538857566464,1,0,1,0
